Entity Name,Description,Category,Image,Link,Size,Show,Fixed,X,Y
blendr.report,"<a href=""https://www.instagram.com/blendr.report/"">Daily opinions from the people that brought you Blendr</a>

94600 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Anti-immigration,White identity,""Tough on crime"",Anti-tax/Anti-regulation,Anti-left propoganda",,,"94,600",true,false,,
itsjonathanharvey,"<a href=""https://www.instagram.com/itsjonathanharvey/"">Entrepreneur</a>

112000 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Anti-immigration,White identity,""Tough on crime"",Anti-tax/Anti-regulation,Anti-left propoganda",,,"112,000",true,false,,
liam.out.loud,"<a href=""https://www.instagram.com/liam.out.loud/"">Aspiring Autodidactic Philosophical Savage Life—Wisdom—Strength—Discipline</a>

107000 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Anti-immigration,White identity,""Tough on crime"",Anti-tax/Anti-regulation,Anti-left propoganda",,,"107,000",true,false,,
401_da_sarpanch,"<a href=""https://www.instagram.com/401_da_sarpanch/"">#1 In 🇨🇦 Trucking | Traffic | Border | Police | Breaking | ALL DM’s</a>

141000 followers","Anti-China,Anti-immigration,Overt racism,""Tough on crime"",Anti-government,Pro-fossil fuels industry,MAGA,Pro-Conservative Party,Anti-left propoganda",,,"141,000",true,false,,
bertaprouddad,"<a href=""https://www.instagram.com/bertaprouddad/"">🇨🇦 Father. Husband. Blue-collar patriot. Fighting for truth, family & freedom.</a>

186000 followers","Anti-Trans,Alberta separatist,Anti-China,Anti-immigration,Pro-fossil fuels industry,Anti-union,MAGA,Pro-Conservative Party,Pro-UCP,Anti-left propoganda",,,"186,000",true,false,,
nuancedpodcast,"<a href=""https://www.instagram.com/nuancedpodcast/""></a>

2300 followers","Anti-reconciliation,Pro-Conservative Party,Anti-left propoganda",,,"2,300",true,false,,
fraser_institute,"<a href=""https://www.instagram.com/fraser_institute/"">🇨🇦 #1 think tank</a>

7179 followers","Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,Anti-union,Pro-Conservative Party,Anti-left propoganda,Corporate propoganda",,,"7,179",true,false,,
the_barefoot_truther,"<a href=""https://www.instagram.com/the_barefoot_truther/"">Empowering 𝙷𝚘𝚕𝚒𝚜𝚝𝚒𝚌 Leaders Exposing 𝚙𝙷𝙰𝚁𝙼𝚊 Lies | Pro-𝙵𝚛𝚎𝚎𝚍𝚘𝚖</a>

101000 followers","Anti-vaccine,Conspiracy",,,"101,000",true,false,,
proudcanuck78,"<a href=""https://www.instagram.com/proudcanuck78/"">Digital creator</a>

84300 followers","Anti-Trans,Anti-immigration,White identity,""Tough on crime"",Anti-tax/Anti-regulation,Climate change denial,MAGA,Pro-Conservative Party,Anti-left propoganda",,,"84,300",true,false,,
rightcallpodcast,"<a href=""https://www.instagram.com/rightcallpodcast/"">Voicing what we all quietly think 🇨🇦 Politics & world news without the sugar coat</a>

17000 followers","Anti-immigration,Anti-tax/Anti-regulation,Climate change denial,MAGA,Anti-left propoganda",,,"17,000",true,false,,
